id,title,publishedAt,description,youtube_id
UExwVmVBMXRkZ2ZDRGtRcjV2T0pZczVrSW9Ma1RpdEFLVC41NkI0NEY2RDEwNTU3Q0M2,Алексей Юркевич - На что обратить внимание дата сайнтисту в продуктовой компании,2018-09-17T12:07:53.000Z,"Алексей рассказал, на что стоит обратить внимание дата сайнтисту в продуктовой компании. В частности, речь в докладе идет о том, почему важна прозрачность процессов, почему нужно всегда начинать с простого решения и как относиться к пресловутому business value.",_1EZOtu77w0
UExwVmVBMXRkZ2ZDRGtRcjV2T0pZczVrSW9Ma1RpdEFLVC4yODlGNEE0NkRGMEEzMEQy,Алексей Натекин – Как сделать самое нестандартное соревнование по ботам-стиховодам,2018-09-17T12:09:41.000Z,"Основатель ODS Алексей Натекин выступил с рассказом о весьма необычном data science соревновании - Classic AI.
В соревновании участникам предлагалось написать алгоритм, способный генерировать стихи на заданную тему в стиле одного из известных поэтов.
Из выступления вы узнаете, какие подводные камни у такого соревнования и что мог бы написать Есенин про баги в процессе обучения.",v7aank8k7w8
UExwVmVBMXRkZ2ZDRGtRcjV2T0pZczVrSW9Ma1RpdEFLVC41MjE1MkI0OTQ2QzJGNzNG,Дмитрий Федоров - Ускорение нейронных сетей с помощью Metal performance shading,2018-09-17T12:12:12.000Z,"В докладе рассмотрены примеры имплементаций некоторых популярных архитектур, а также проведено сравнение с другими фреймворками для инференса нейросетей на мобильных устройствах.",gpzEQujiTwg
UExwVmVBMXRkZ2ZDRGtRcjV2T0pZczVrSW9Ma1RpdEFLVC4wOTA3OTZBNzVEMTUzOTMy,С. Мушинский - Optical Flow: нейросетевая революция в компьютерном зрении на примере одной задачи,2018-09-17T13:11:09.000Z,"Компьютерное зрение – область с многолетней историей, но в последние годы мы видим невероятный прогресс, вызванный нейросетями. Часто это значит, что лучшие методы появились буквально вчера и новички без багажа прошлых 40 лет устаревшей информации могут неожиданно оказаться круче укоренившихся профи. На примере одной небольшой задачи Сергей рассказал о достижениях последних лет и как получить SoTA знания за пару дней.",6ZlfYm2xgtY
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy5DQUNERDQ2NkIzRUQxNTY1,Data Fest² Minsk 2018 Открытие Data Fest2 Minsk,2018-06-04T13:51:52.000Z,,H6zZGNAF2pU
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy45ODRDNTg0QjA4NkFBNkQy,"Data Fest² Minsk 2018: Владимир Игловиков, Как быстро надо бежать, чтобы не отстать: ML edition",2018-06-04T13:51:52.000Z,"Поток  I
Владимир Игловиков, Computer Vision Engineer @Lyft, PhD in Physics at UC Davis, Kaggle Grandmaster.

Как быть востребованным на конкурентном рынке труда Кремниевой Долины. Статьи, технологии, конкурсы, соратники, настрой и другие важные аспекты становления дата сайнтиста.",v6Wv01GJQnI
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy5EMEEwRUY5M0RDRTU3NDJC,"Data Fest² Minsk 2018: Арсений Анисимович, Как решать задачи NLP без знания языка",2018-06-04T13:51:52.000Z,"Поток I

Арсений Анисимович, Lead Research Scientist @Once Dating

Char-level CNN для обработки текстов: советы, трюки и подводные камни, подходы. Можно ли сделать модель для решения специфических проблем в многоязычных ситуациях, не опираясь на большие датасеты.",ldAJHmT7hgY
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy45NDk1REZENzhEMzU5MDQz,"Data Fest² Minsk 2018: Валентин Малых, DeepPavlov: библиотека для создания диалоговых систем",2018-06-04T13:51:52.000Z,"Поток I

Валентин Малых, исследователь в лаборатории нейронных систем и глубокого обучения @МФТИ, Москва

Библиотека DeepPavlov содержит в себе отдельные код, тренированные модели и вспомогательные утилиты для создания диалоговых систем (чатботов).",GkuAU-RRG5o
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy5GNjNDRDREMDQxOThCMDQ2,"Data Fest² Minsk 2018: Виктор Отлига, Распознавание и учёт светофоров беспилотным автомобилем",2018-06-04T13:51:52.000Z,"Поток I

Виктор Отлига, разработчик направления беспилотных автомобилей @Яндекс


Светофоры - один из главных типов объектов, влияющих на движение автомобиля в городе. Обычно у человека не возникает проблем с тем, чтобы определить цвет светофора и понять, как он влияет на дорожную ситуацию. А сложно ли беспилотному автомобилю справиться с задачей учёта светофоров при планировании своего поведения? Думаете, что это крайне простая и понятная задача? На самом деле, всё не так тривиально, как может показаться на первый взгляд. В докладе мы попробуем разобраться, какие есть подводные камни у этой задачи и как можно с ними бороться.",cpv3VF_olGw
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy4yMUQyQTQzMjRDNzMyQTMy,"Data Fest² Minsk 2018: Сергей Овчаренко, Superresolution для видео с помощью Generative Adversarial",2018-06-04T13:51:52.000Z,"Поток I

Сергей Овчаренко, Senior Research Engineer @Яндекс

Как можно улучшать видео и изображения с помощью GAN'ов, почему подходы из статей про superresolution не работает на реальных данных и как это исправить.",Dlih_a2-4gU
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy41QTY1Q0UxMTVCODczNThE,"Data Fest² Minsk 2018: Евгений Бабахин, Анализ и разметка больших данных в приложениях eCommerce",2018-06-04T13:51:52.000Z,"Поток I

Евгений Бабахин, Data Scientist @Profitero

Часто бывает, что удается скачать большие объемы неструктурированных данных (текстов, картинок) из открытых источников, однако возникает вопрос их разметки под конкретную задачу. Как справляются  с проблемой разметки и пополнения тренировочного множества в компании Profitero на примере использования такого подхода в задаче по определению брендов продуктов в онлайн-магазинах.",vxkZ0JULC88
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy4zMDg5MkQ5MEVDMEM1NTg2,"Data Fest² Minsk 2018: Дмитрий Палевский, Как безопасно использовать стекинг в продакшене",2018-06-04T13:51:52.000Z,"Поток I

Дмитрий Палевский, Data Scientist @WorkFusion

To stack or not to stack? Или как увеличить точность предсказания для задачи извлечения информации до 99%-100% за счет применения валидационной модели 2-го уровня.",VoBrYyeV-iA
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy41Mzk2QTAxMTkzNDk4MDhF,"Data Fest² Minsk 2018: Дима Королев, Как анализировать гигабайты данных на обычном ноутбуке",2018-06-04T13:51:52.000Z,"Поток I

Дима Королев, Head of Machine Learning @FriendlyData

Часто бывает, что данных — единицы или десятки гигабайт, что не очень мало, но и не очень много. В такой ситуации анализировать их с помощью sed / jq / grep / awk уже выходит слишком медленно, а заливать их в Hadoop-кластер — слишком расточительно. ""От баша и скриптов"" к нативному коду, который двумя разными способами приводит нас к возможности локально, на обычном ноутбуке, ""бегать"" по данным со скоростью больше гигабайта в секунду, сводя время одной итерации ""идея - имплементация - обработка - результат"" к единицам секунд.",N8Yvn9MDD0g
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy45RTgxNDRBMzUwRjQ0MDhC,"Data Fest² Minsk 2018: Александр Радионов, Доставка и эксплуатация обученных моделей на production.",2018-06-08T06:54:36.000Z,"Поток I 

Александр Радионов, руководитель сервисов Поиска и ML @2ГИС

2ГИС — справочник и карта организаций России, Украины, Казахстана и других стран, с более чем 40 миллионами пользователей в месяц. Справочник содержит миллионы организаций и каждый день их сайты меняются. Расскажем о процессе непрерывной (почти) интеграции Machine Learning-сервисов с бекендами для выверки работоспособности и отсутствия 18+ контента на сайтах компаний.",AWAJiv5ZCPY
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy40NzZCMERDMjVEN0RFRThB,"Data Fest² Minsk 2018:Дмитрий Щегрикович, Как сегментировать 150 млн человек",2018-06-04T13:51:52.000Z,"Поток I

Дмитрий Щегрикович, Senior Data Scientist @Wargaming, кандидат ф.-м. наук

Варианты применения методов кластеризации для нужд описания пользователей от идеи до финального решения на примере реальных задач команды Data Science компании Wargaming.О тонкостях продажи бизнесу идей проектов, подходах к решению непосредственно аналитических задач, проверке устойчивости решений, виде автоматизированного решения.",K3Q9gfrCGkI
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy4yODlGNEE0NkRGMEEzMEQy,"Data Fest² Minsk 2018: Влад Павлович,  Доменная адаптация в компьютерном зрении",2018-06-04T13:51:52.000Z,"Поток II

Влад Павлович, Software Engineer @WANNABY

Одна из основных проблем методов глубинного обучения - недостаточные объёмы обучающей выборки. В докладе  -  о возможностях применения доменной адаптации изображений для решения этой проблемы.",53--DNGmHng
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy41NkI0NEY2RDEwNTU3Q0M2,"Data Fest² Minsk 2018: Денис Пирштук, Трекинг состояния человека: в поиске лучшего решения",2018-06-04T13:51:25.000Z,"Поток II

Денис Пирштук, Head of Data Science, Facemetrics @Facemetrics

Об особенностях задач, в которых камера используется для отслеживания состояния человека, будь то его активность, эмоциональное или физическое состояние человека, и сравним возможные подходы к их решению. В этой области обычно модели обучают на датасетах, созданных в лабораторных условиях. Однако у некоторых исследователей получаются модели, которые точнее и намного более устойчивы на новых реальных данных, чем у большинства коллег. В чем же отличия?",PjTVS9n2yLQ
UExwVmVBMXRkZ2ZDQ1VWc0xWcUh3ZWdic0JCRDFiaGhSXy4wMTcyMDhGQUE4NTIzM0Y5,"Data Fest² Minsk 2018: Юрий Кашницкий, О некоторых косяках в анализе данных",2018-06-04T13:51:52.000Z,"Поток II

Юрий Кашницкий, Data Scientist команды предиктивной аналитики @Mail.Ru Group, инициатор открытого курса OpenDataScience по машинному обучению

Всем людям свойственно косячить. Data Scientist-ы – не исключение. О граблях, на которые наступают специалисты по анализу данных, откуда они берутся – только ли невнимательность или неумение программировать? Или плохое знание математики? Порой эти косяки можно поправить за один вечер, а порой и весь проект может загнуться.",uK4hPD12YmI
